ip,scheme,port,path,status,title,server,x_powered_by,content_type,set_cookie,location,hints
172.25.22.11,http,80,/,200,Your Store,Apache/2.4.58 (Ubuntu),,text/html; charset=utf-8,OCSESSID=015473bbbee5bd51e54a8ccd20; expires=Sun 01-Feb-2026 21:34:55 GMT; Max-Age=86400; path=/; SameSite=Strict,,opencart login Login OpenCart
172.25.22.11,http,80,/robots.txt,200,,Apache/2.4.58 (Ubuntu),,text/plain,,,
172.25.22.11,http,80,/admin,301,301 Moved Permanently,Apache/2.4.58 (Ubuntu),,text/html; charset=iso-8859-1,,http://172.25.22.11/admin/,admin
172.25.22.11,http,80,/login,404,,Apache/2.4.58 (Ubuntu),,text/html; charset=iso-8859-1,,,
172.25.22.11,http,80,/administrator,404,,Apache/2.4.58 (Ubuntu),,text/html; charset=iso-8859-1,,,
172.25.22.11,http,80,/index.php,200,Your Store,Apache/2.4.58 (Ubuntu),,text/html; charset=utf-8,,,opencart login Login OpenCart
172.25.22.140,http,80,/,200,CyberShield — Home,Microsoft-IIS/10.0,,text/html,,,
172.25.22.140,http,80,/robots.txt,404,,Microsoft-IIS/10.0,,text/html,,,
172.25.22.140,http,80,/admin,404,,Microsoft-IIS/10.0,,text/html,,,
172.25.22.140,http,80,/login,404,,Microsoft-IIS/10.0,,text/html,,,
172.25.22.140,http,80,/administrator,404,,Microsoft-IIS/10.0,,text/html,,,
172.25.22.140,http,80,/index.php,404,,Microsoft-IIS/10.0,,text/html,,,
